Town,Total Cust.,Cust. Out,% Out,timestamp
ASHFORD,2169,1,0.05,2018-08-14 21:30
BETHANY,2359,3,0.13,2018-08-14 21:30
BETHLEHEM,1905,1,0.05,2018-08-14 21:30
BRIDGEWATER,961,12,1,2018-08-14 21:30
CLINTON,7117,3,0.04,2018-08-14 21:30
DANBURY,37228,1,0.00,2018-08-14 21:30
ENFIELD,19361,1,0.01,2018-08-14 21:30
GLASTONBURY,16000,1,0.01,2018-08-14 21:30
GRANBY,4784,4,0.08,2018-08-14 21:30
GREENWICH,28181,42,0.15,2018-08-14 21:30
NEW CANAAN,8444,1,0.01,2018-08-14 21:30
REDDING,3734,12,0.32,2018-08-14 21:30
RIDGEFIELD,10881,1,0.01,2018-08-14 21:30
SOUTHBURY,9958,2,0.02,2018-08-14 21:30
STAMFORD,60056,1,0.00,2018-08-14 21:30
VERNON,16123,1,0.01,2018-08-14 21:30
WATERBURY,51698,4,0.01,2018-08-14 21:30
WOODBURY,5181,2,0.04,2018-08-14 21:30
ASHFORD,2169,1,0.05,2018-08-14 21:15
BETHANY,2359,3,0.13,2018-08-14 21:15
BETHLEHEM,1905,1,0.05,2018-08-14 21:15
BRIDGEWATER,961,11,1.0,2018-08-14 21:15
CLINTON,7117,3,0.04,2018-08-14 21:15
DANBURY,37228,1,0.0,2018-08-14 21:15
GLASTONBURY,16000,1,0.01,2018-08-14 21:15
GRANBY,4784,4,0.08,2018-08-14 21:15
GREENWICH,28181,42,0.15,2018-08-14 21:15
LEDYARD,6767,1,0.01,2018-08-14 21:15
REDDING,3734,12,0.32,2018-08-14 21:15
RIDGEFIELD,10881,1,0.01,2018-08-14 21:15
SOUTHBURY,9958,2,0.02,2018-08-14 21:15
STAMFORD,60056,1,0.0,2018-08-14 21:15
WATERBURY,51698,4,0.01,2018-08-14 21:15
WOODBURY,5181,2,0.04,2018-08-14 21:15
ASHFORD,2169,1,0.05,2018-08-14 21:00
BETHANY,2359,3,0.13,2018-08-14 21:00
BETHLEHEM,1905,1,0.05,2018-08-14 21:00
BRIDGEWATER,961,11,1.0,2018-08-14 21:00
DANBURY,37228,1,0.0,2018-08-14 21:00
GLASTONBURY,16000,1,0.01,2018-08-14 21:00
GRANBY,4784,4,0.08,2018-08-14 21:00
GREENWICH,28181,50,0.18,2018-08-14 21:00
LEDYARD,6767,1,0.01,2018-08-14 21:00
REDDING,3734,12,0.32,2018-08-14 21:00
RIDGEFIELD,10881,1,0.01,2018-08-14 21:00
SOUTHBURY,9958,2,0.02,2018-08-14 21:00
STAMFORD,60056,1,0.0,2018-08-14 21:00
WATERBURY,51698,4,0.01,2018-08-14 21:00
WATERFORD,9768,7,0.07,2018-08-14 21:00
WOODBURY,5181,2,0.04,2018-08-14 21:00
ASHFORD,2169,1,0.05,2018-08-14 20:45
BETHANY,2359,3,0.13,2018-08-14 20:45
BETHLEHEM,1905,1,0.05,2018-08-14 20:45
BRIDGEWATER,961,10,1.0,2018-08-14 20:45
DANBURY,37228,1,0.0,2018-08-14 20:45
GLASTONBURY,16000,1,0.01,2018-08-14 20:45
GRANBY,4784,4,0.08,2018-08-14 20:45
GREENWICH,28181,50,0.18,2018-08-14 20:45
HARTFORD,58939,1,0.0,2018-08-14 20:45
LEDYARD,6767,1,0.01,2018-08-14 20:45
REDDING,3734,12,0.32,2018-08-14 20:45
RIDGEFIELD,10881,1,0.01,2018-08-14 20:45
ROXBURY,1347,3,0.22,2018-08-14 20:45
SOUTHBURY,9958,2,0.02,2018-08-14 20:45
STAMFORD,60056,1,0.0,2018-08-14 20:45
WATERBURY,51698,4,0.01,2018-08-14 20:45
WOODBURY,5181,2,0.04,2018-08-14 20:45
ASHFORD,2169,1,0.05,2018-08-14 20:30
BETHANY,2359,3,0.13,2018-08-14 20:30
BETHEL,8677,1,0.01,2018-08-14 20:30
BETHLEHEM,1905,1,0.05,2018-08-14 20:30
BRIDGEWATER,961,32,3.0,2018-08-14 20:30
DANBURY,37228,1,0.0,2018-08-14 20:30
GLASTONBURY,16000,1,0.01,2018-08-14 20:30
GRANBY,4784,4,0.08,2018-08-14 20:30
GREENWICH,28181,51,0.18,2018-08-14 20:30
HARTFORD,58939,1,0.0,2018-08-14 20:30
LEDYARD,6767,1,0.01,2018-08-14 20:30
NEW FAIRFIELD,6100,1,0.02,2018-08-14 20:30
REDDING,3734,12,0.32,2018-08-14 20:30
ROCKY HILL,10189,1,0.01,2018-08-14 20:30
ROXBURY,1347,3,0.22,2018-08-14 20:30
SOUTHBURY,9958,2,0.02,2018-08-14 20:30
STAMFORD,60056,1,0.0,2018-08-14 20:30
WATERBURY,51698,4,0.01,2018-08-14 20:30
WOODBURY,5181,2,0.04,2018-08-14 20:30
ASHFORD,2169,1,0.05,2018-08-14 20:15
BETHANY,2359,2,0.08,2018-08-14 20:15
BETHEL,8677,1,0.01,2018-08-14 20:15
BRIDGEWATER,961,32,3.0,2018-08-14 20:15
BROOKFIELD,8392,1,0.01,2018-08-14 20:15
CANTERBURY,2266,1,0.04,2018-08-14 20:15
DANBURY,37228,1,0.0,2018-08-14 20:15
GLASTONBURY,16000,1,0.01,2018-08-14 20:15
GRANBY,4784,4,0.08,2018-08-14 20:15
GREENWICH,28181,52,0.18,2018-08-14 20:15
HARTFORD,58939,1,0.0,2018-08-14 20:15
LEDYARD,6767,1,0.01,2018-08-14 20:15
NEW FAIRFIELD,6100,1,0.02,2018-08-14 20:15
NEW MILFORD,13943,216,2.0,2018-08-14 20:15
REDDING,3734,12,0.32,2018-08-14 20:15
ROCKY HILL,10189,1,0.01,2018-08-14 20:15
ROXBURY,1347,3,0.22,2018-08-14 20:15
SOUTHBURY,9958,2,0.02,2018-08-14 20:15
STAMFORD,60056,1,0.0,2018-08-14 20:15
THOMASTON,3812,1,0.03,2018-08-14 20:15
WATERBURY,51698,4,0.01,2018-08-14 20:15
WOODBURY,5181,2,0.04,2018-08-14 20:15
BETHANY,2359,2,0.08,2018-08-14 20:00
BRIDGEWATER,961,32,3.0,2018-08-14 20:00
BROOKFIELD,8392,1,0.01,2018-08-14 20:00
CANTERBURY,2266,1,0.04,2018-08-14 20:00
DANBURY,37228,1,0.0,2018-08-14 20:00
GLASTONBURY,16000,1,0.01,2018-08-14 20:00
GREENWICH,28181,52,0.18,2018-08-14 20:00
LEDYARD,6767,1,0.01,2018-08-14 20:00
LISBON,1880,1,0.05,2018-08-14 20:00
NEW FAIRFIELD,6100,1,0.02,2018-08-14 20:00
NEW MILFORD,13943,216,2.0,2018-08-14 20:00
PLAINFIELD,7225,1,0.01,2018-08-14 20:00
REDDING,3734,12,0.32,2018-08-14 20:00
ROCKY HILL,10189,1,0.01,2018-08-14 20:00
ROXBURY,1347,3,0.22,2018-08-14 20:00
SIMSBURY,10822,5,0.05,2018-08-14 20:00
SOUTHBURY,9958,2,0.02,2018-08-14 20:00
STAMFORD,60056,1,0.0,2018-08-14 20:00
THOMASTON,3812,1,0.03,2018-08-14 20:00
WATERBURY,51698,4,0.01,2018-08-14 20:00
WOODBURY,5181,2,0.04,2018-08-14 20:00
BETHANY,2359,1,0.04,2018-08-14 19:45
BRIDGEWATER,961,32,3.0,2018-08-14 19:45
BROOKFIELD,8392,1,0.01,2018-08-14 19:45
DANBURY,37228,1,0.0,2018-08-14 19:45
GLASTONBURY,16000,1,0.01,2018-08-14 19:45
GREENWICH,28181,44,0.16,2018-08-14 19:45
HARTFORD,58939,1,0.0,2018-08-14 19:45
LEDYARD,6767,1,0.01,2018-08-14 19:45
