Town,Total Cust.,Cust. Out,% Out,timestamp
Town,Total Cust.,Cust. Out,% Out,2018-05-18 22:00
WAYLAND,5607,8,0.14,2018-05-18 22:00
Town,Total Cust.,Cust. Out,% Out,2018-05-18 21:45
WAYLAND,5607,8,0.14,2018-05-18 21:45
WOBURN,20587,1,0.00,2018-05-18 21:45
Town,Total Cust.,Cust. Out,% Out,2018-05-18 21:30
BOSTON,277178,60,0.02,2018-05-18 21:30
WAYLAND,5607,8,0.14,2018-05-18 21:30
WOBURN,20587,1,0.00,2018-05-18 21:30
Town,Total Cust.,Cust. Out,% Out,2018-05-18 21:15
BOSTON,277178,60,0.02,2018-05-18 21:15
MARSHFIELD,12473,30,0.24,2018-05-18 21:15
WOBURN,20587,1,0.00,2018-05-18 21:15
Town,Total Cust.,Cust. Out,% Out,2018-05-18 21:00
BOSTON,277178,60,0.02,2018-05-18 21:00
MARSHFIELD,12473,30,0.24,2018-05-18 21:00
WOBURN,20587,1,0.00,2018-05-18 21:00
Town,Total Cust.,Cust. Out,% Out,2018-05-18 20:45
BOSTON,277178,60,0.02,2018-05-18 20:45
MARSHFIELD,12473,30,0.24,2018-05-18 20:45
WOBURN,20587,1,0.00,2018-05-18 20:45
Town,Total Cust.,Cust. Out,% Out,2018-05-18 20:30
BOSTON,277178,60,0.02,2018-05-18 20:30
CANTON,10586,1,0.01,2018-05-18 20:30
MARSHFIELD,12473,30,0.24,2018-05-18 20:30
WOBURN,20587,1,0.00,2018-05-18 20:30
Town,Total Cust.,Cust. Out,% Out,2018-05-18 20:15
BOSTON,277178,61,0.02,2018-05-18 20:15
CANTON,10586,1,0.01,2018-05-18 20:15
MARSHFIELD,12473,30,0.24,2018-05-18 20:15
OAK BLUFFS,4805,1,0.02,2018-05-18 20:15
WOBURN,20587,1,0.00,2018-05-18 20:15
Town,Total Cust.,Cust. Out,% Out,2018-05-18 20:00
BOSTON,277178,60,0.02,2018-05-18 20:00
CANTON,10586,1,0.01,2018-05-18 20:00
MARSHFIELD,12473,30,0.24,2018-05-18 20:00
OAK BLUFFS,4805,1,0.02,2018-05-18 20:00
WOBURN,20587,1,0.00,2018-05-18 20:00
Town,Total Cust.,Cust. Out,% Out,2018-05-18 19:45
BOSTON,277178,2,0.00,2018-05-18 19:45
CANTON,10586,1,0.01,2018-05-18 19:45
OAK BLUFFS,4805,1,0.02,2018-05-18 19:45
WOBURN,20587,1,0.00,2018-05-18 19:45
Town,Total Cust.,Cust. Out,% Out,2018-05-18 19:30
BARNSTABLE,31251,114,0.36,2018-05-18 19:30
BOSTON,277178,2,0.00,2018-05-18 19:30
CANTON,10586,1,0.01,2018-05-18 19:30
OAK BLUFFS,4805,1,0.02,2018-05-18 19:30
WOBURN,20587,1,0.00,2018-05-18 19:30
Town,Total Cust.,Cust. Out,% Out,2018-05-18 19:15
BARNSTABLE,31251,114,0.36,2018-05-18 19:15
BOSTON,277178,1,0.00,2018-05-18 19:15
CANTON,10586,1,0.01,2018-05-18 19:15
EASTHAM,6598,1,0.02,2018-05-18 19:15
OAK BLUFFS,4805,1,0.02,2018-05-18 19:15
WESTPORT,5659,1,0.02,2018-05-18 19:15
WOBURN,20587,1,0.00,2018-05-18 19:15
Town,Total Cust.,Cust. Out,% Out,2018-05-18 19:00
BARNSTABLE,31251,145,0.46,2018-05-18 19:00
BOSTON,277178,1,0.00,2018-05-18 19:00
CANTON,10586,1,0.01,2018-05-18 19:00
OAK BLUFFS,4805,1,0.02,2018-05-18 19:00
WALPOLE,10673,1,0.01,2018-05-18 19:00
WESTPORT,5659,1,0.02,2018-05-18 19:00
WOBURN,20587,1,0.00,2018-05-18 19:00
Town,Total Cust.,Cust. Out,% Out,2018-05-18 18:45
BOSTON,277178,1,0.00,2018-05-18 18:45
CANTON,10586,1,0.01,2018-05-18 18:45
OAK BLUFFS,4805,1,0.02,2018-05-18 18:45
WALPOLE,10673,1,0.01,2018-05-18 18:45
WESTPORT,5659,1,0.02,2018-05-18 18:45
WOBURN,20587,1,0.00,2018-05-18 18:45
Town,Total Cust.,Cust. Out,% Out,2018-05-18 18:30
BOSTON,277178,1,0.00,2018-05-18 18:30
CANTON,10586,1,0.01,2018-05-18 18:30
CARLISLE,2031,1,0.05,2018-05-18 18:30
OAK BLUFFS,4805,1,0.02,2018-05-18 18:30
WALPOLE,10673,1,0.01,2018-05-18 18:30
WESTPORT,5659,1,0.02,2018-05-18 18:30
WOBURN,20587,1,0.00,2018-05-18 18:30
Town,Total Cust.,Cust. Out,% Out,2018-05-18 18:15
