Town,Total Cust.,Cust. Out,% Out,timestamp
ORLEANS,6746,1,0.01,2018-09-22 23:30
ORLEANS,6746,1,0.01,2018-09-22 23:15
SANDWICH,10986,1,0.01,2018-09-22 23:15
ORLEANS,6746,1,0.01,2018-09-22 23:00
SANDWICH,10986,1,0.01,2018-09-22 23:00
FALMOUTH,25719,1,0.0,2018-09-22 22:45
ORLEANS,6746,1,0.01,2018-09-22 22:45
SANDWICH,10986,1,0.01,2018-09-22 22:45
FALMOUTH,25719,1,0.0,2018-09-22 22:30
ORLEANS,6746,1,0.01,2018-09-22 22:30
SANDWICH,10986,1,0.01,2018-09-22 22:30
FALMOUTH,25719,1,0.0,2018-09-22 22:15
SANDWICH,10986,1,0.01,2018-09-22 22:15
FALMOUTH,25719,1,0.0,2018-09-22 22:00
CARLISLE,2036,5,0.25,2018-09-22 21:45
FALMOUTH,25719,1,0.0,2018-09-22 21:45
CARLISLE,2036,5,0.25,2018-09-22 21:30
FALMOUTH,25719,1,0.0,2018-09-22 21:30
LINCOLN,2570,1,0.04,2018-09-22 21:30
NATICK,17206,1,0.01,2018-09-22 21:30
CARLISLE,2036,5,0.25,2018-09-22 21:15
FALMOUTH,25719,1,0.0,2018-09-22 21:15
LINCOLN,2570,1,0.04,2018-09-22 21:15
NATICK,17206,1,0.01,2018-09-22 21:15
CARLISLE,2036,1,0.05,2018-09-22 21:00
FALMOUTH,25719,1,0.0,2018-09-22 21:00
LINCOLN,2570,1,0.04,2018-09-22 21:00
CARLISLE,2036,1,0.05,2018-09-22 20:45
FALMOUTH,25719,1,0.0,2018-09-22 20:45
LINCOLN,2570,1,0.04,2018-09-22 20:45
CARLISLE,2036,1,0.05,2018-09-22 20:30
LINCOLN,2570,1,0.04,2018-09-22 20:30
CARLISLE,2036,1,0.05,2018-09-22 20:15
LINCOLN,2570,1,0.04,2018-09-22 20:15
CARLISLE,2036,1,0.05,2018-09-22 20:00
LINCOLN,2570,1,0.04,2018-09-22 20:00
CARLISLE,2036,1,0.05,2018-09-22 19:45
LINCOLN,2570,1,0.04,2018-09-22 19:45
CARLISLE,2036,1,0.05,2018-09-22 19:30
LINCOLN,2570,1,0.04,2018-09-22 19:30
LINCOLN,2570,1,0.04,2018-09-22 19:15
WAREHAM,14668,1,0.01,2018-09-22 19:15
LINCOLN,2570,1,0.04,2018-09-22 19:00
LINCOLN,2570,1,0.04,2018-09-22 18:45
BOURNE,11567,7,0.06,2018-09-22 17:45
BOURNE,11567,7,0.06,2018-09-22 17:30
BOURNE,11567,7,0.06,2018-09-22 17:15
EASTHAM,6601,1,0.02,2018-09-22 17:15
BOURNE,11567,7,0.06,2018-09-22 17:00
EASTHAM,6601,1,0.02,2018-09-22 17:00
MATTAPOISETT,3921,1,0.03,2018-09-22 17:00
BOURNE,11567,7,0.06,2018-09-22 16:45
DARTMOUTH,14844,1,0.01,2018-09-22 16:45
EASTHAM,6601,1,0.02,2018-09-22 16:45
MATTAPOISETT,3921,1,0.03,2018-09-22 16:45
BOURNE,11567,7,0.06,2018-09-22 16:30
DARTMOUTH,14844,1,0.01,2018-09-22 16:30
EASTHAM,6601,1,0.02,2018-09-22 16:30
MATTAPOISETT,3921,1,0.03,2018-09-22 16:30
BOURNE,11567,1,0.01,2018-09-22 16:15
DARTMOUTH,14844,1,0.01,2018-09-22 16:15
EASTHAM,6601,1,0.02,2018-09-22 16:15
MASHPEE,12067,1,0.01,2018-09-22 16:15
DARTMOUTH,14844,1,0.01,2018-09-22 16:00
EASTHAM,6601,1,0.02,2018-09-22 16:00
DARTMOUTH,14844,1,0.01,2018-09-22 15:45
EASTHAM,6601,1,0.02,2018-09-22 15:45
EASTHAM,6601,1,0.02,2018-09-22 15:30
EASTHAM,6601,1,0.02,2018-09-22 15:15
EASTHAM,6601,1,0.02,2018-09-22 15:00
MATTAPOISETT,3921,1,0.03,2018-09-22 15:00
MATTAPOISETT,3921,1,0.03,2018-09-22 14:45
MATTAPOISETT,3921,1,0.03,2018-09-22 14:30
BOURNE,11567,15,0.13,2018-09-22 14:15
FRAMINGHAM,30286,1,0.0,2018-09-22 14:15
SOMERVILLE,39390,42,0.11,2018-09-22 14:15
BOURNE,11567,15,0.13,2018-09-22 14:00
FRAMINGHAM,30286,1,0.0,2018-09-22 14:00
SOMERVILLE,39390,42,0.11,2018-09-22 14:00
BOURNE,11567,15,0.13,2018-09-22 13:45
SOMERVILLE,39390,42,0.11,2018-09-22 13:45
BOURNE,11567,15,0.13,2018-09-22 13:30
SOMERVILLE,39390,42,0.11,2018-09-22 13:30
BOURNE,11567,15,0.13,2018-09-22 13:15
ORLEANS,6746,53,0.79,2018-09-22 13:15
SOMERVILLE,39390,42,0.11,2018-09-22 13:15
BOSTON,277102,1,0.0,2018-09-22 13:00
BOURNE,11567,15,0.13,2018-09-22 13:00
DARTMOUTH,14844,1,0.01,2018-09-22 13:00
ORLEANS,6746,53,0.79,2018-09-22 13:00
PROVINCETOWN,5909,415,7.0,2018-09-22 13:00
SOMERVILLE,39390,42,0.11,2018-09-22 13:00
TISBURY,3930,360,9.0,2018-09-22 13:00
WALPOLE,10890,1,0.01,2018-09-22 13:00
WEST TISBURY,2682,1,0.04,2018-09-22 13:00
BOURNE,11567,15,0.13,2018-09-22 12:45
PROVINCETOWN,5909,415,7.0,2018-09-22 12:45
SOMERVILLE,39390,42,0.11,2018-09-22 12:45
TISBURY,3930,360,9.0,2018-09-22 12:45
WALPOLE,10890,1,0.01,2018-09-22 12:45
WEST TISBURY,2682,1,0.04,2018-09-22 12:45
BOURNE,11567,15,0.13,2018-09-22 12:30
PROVINCETOWN,5909,415,7.0,2018-09-22 12:30
SOMERVILLE,39390,42,0.11,2018-09-22 12:30
TISBURY,3930,360,9.0,2018-09-22 12:30
WALPOLE,10890,1,0.01,2018-09-22 12:30
WEST TISBURY,2682,1,0.04,2018-09-22 12:30
BOURNE,11567,1,0.01,2018-09-22 12:15
BROOKLINE,33173,1,0.0,2018-09-22 12:15
PROVINCETOWN,5909,415,7.0,2018-09-22 12:15
SOMERVILLE,39390,42,0.11,2018-09-22 12:15
