Town,Total Cust.,Cust. Out,% Out,timestamp
Town,Total Cust.,Cust. Out,% Out,2018-05-19 19:00
SOUTHAMPTON,2569,175,7,2018-05-19 19:00
WINDSOR,522,15,3,2018-05-19 19:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:45
SOUTHAMPTON,2569,175,7,2018-05-19 18:45
WINDSOR,522,15,3,2018-05-19 18:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:30
SOUTHAMPTON,2569,175,7,2018-05-19 18:30
WINDSOR,522,15,3,2018-05-19 18:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:15
SOUTHAMPTON,2569,175,7,2018-05-19 18:15
WINDSOR,522,15,3,2018-05-19 18:15
Town,Total Cust.,Cust. Out,% Out,2018-05-19 18:00
SOUTHAMPTON,2569,175,7,2018-05-19 18:00
WINDSOR,522,15,3,2018-05-19 18:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:45
WINDSOR,522,15,3,2018-05-19 17:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:30
WINDSOR,522,20,4,2018-05-19 17:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:15
WINDSOR,522,20,4,2018-05-19 17:15
Town,Total Cust.,Cust. Out,% Out,2018-05-19 17:00
WINDSOR,522,20,4,2018-05-19 17:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 16:45
WINDSOR,522,20,4,2018-05-19 16:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 13:45
PITTSFIELD,23073,1,0.00,2018-05-19 13:45
Town,Total Cust.,Cust. Out,% Out,2018-05-19 13:30
PITTSFIELD,23073,1,0.00,2018-05-19 13:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 12:00
EASTHAMPTON,8421,21,0.25,2018-05-19 12:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 09:30
SOUTHWICK,4456,66,1,2018-05-19 09:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 08:30
SOUTHWICK,4456,20,0.45,2018-05-19 08:30
Town,Total Cust.,Cust. Out,% Out,2018-05-19 08:00
PITTSFIELD,23073,1,0.00,2018-05-19 08:00
Town,Total Cust.,Cust. Out,% Out,2018-05-19 07:15
SPRINGFIELD,64219,6,0.01,2018-05-19 07:15
