Town,Total Cust.,Cust. Out,% Out,timestamp
WEST SPRINGFIELD,12818,1,0.01,2019-01-29 20:15
WEST SPRINGFIELD,12818,1,0.01,2019-01-29 20:00
EASTHAMPTON,8436,1,0.01,2019-01-29 15:00
EASTHAMPTON,8436,1,0.01,2019-01-29 14:45
EASTHAMPTON,8436,1,0.01,2019-01-29 14:30
EASTHAMPTON,8436,1,0.01,2019-01-29 14:15
SPRINGFIELD,64326,38,0.06,2019-01-29 14:15
EASTHAMPTON,8436,1,0.01,2019-01-29 14:00
SPRINGFIELD,64326,38,0.06,2019-01-29 14:00
EASTHAMPTON,8436,1,0.01,2019-01-29 13:45
SPRINGFIELD,64326,37,0.06,2019-01-29 13:45
SPRINGFIELD,64326,37,0.06,2019-01-29 13:30
SPRINGFIELD,64326,37,0.06,2019-01-29 13:15
SPRINGFIELD,64326,37,0.06,2019-01-29 13:00
SPRINGFIELD,64326,37,0.06,2019-01-29 12:45
SPRINGFIELD,64326,44,0.07,2019-01-29 11:00
SPRINGFIELD,64326,44,0.07,2019-01-29 10:45
SPRINGFIELD,64326,44,0.07,2019-01-29 10:30
SPRINGFIELD,64326,1,0.0,2019-01-29 10:00
SPRINGFIELD,64326,1,0.0,2019-01-29 09:45
SPRINGFIELD,64326,1,0.0,2019-01-29 09:30
