Town,Total Cust.,Cust. Out,% Out,timestamp
Town,Total Cust.,Cust. Out,% Out,2018-05-23 07:45
MONT VERNON,1066,20,2,2018-05-23 07:45
Town,Total Cust.,Cust. Out,% Out,2018-05-23 03:30
NELSON,498,64,13,2018-05-23 03:30
STODDARD,1239,100,8,2018-05-23 03:30
Town,Total Cust.,Cust. Out,% Out,2018-05-23 03:00
NELSON,498,64,13,2018-05-23 03:00
STODDARD,1239,100,8,2018-05-23 03:00
Town,Total Cust.,Cust. Out,% Out,2018-05-23 02:45
NELSON,498,64,13,2018-05-23 02:45
STODDARD,1239,100,8,2018-05-23 02:45
Town,Total Cust.,Cust. Out,% Out,2018-05-23 02:15
STODDARD,1239,7,0.56,2018-05-23 02:15
Town,Total Cust.,Cust. Out,% Out,2018-05-23 02:00
STODDARD,1239,7,0.56,2018-05-23 02:00
Town,Total Cust.,Cust. Out,% Out,2018-05-23 01:45
STODDARD,1239,7,0.56,2018-05-23 01:45
Town,Total Cust.,Cust. Out,% Out,2018-05-23 01:30
STODDARD,1239,1,0.08,2018-05-23 01:30
Town,Total Cust.,Cust. Out,% Out,2018-05-23 01:15
STODDARD,1239,1,0.08,2018-05-23 01:15
Town,Total Cust.,Cust. Out,% Out,2018-05-23 00:45
NASHUA,42846,1,0.00,2018-05-23 00:45
NELSON,498,64,13,2018-05-23 00:45
STODDARD,1239,168,14,2018-05-23 00:45
Town,Total Cust.,Cust. Out,% Out,2018-05-23 00:30
NASHUA,42846,1,0.00,2018-05-23 00:30
NELSON,498,64,13,2018-05-23 00:30
ORFORD,479,17,4,2018-05-23 00:30
STODDARD,1239,168,14,2018-05-23 00:30
Town,Total Cust.,Cust. Out,% Out,2018-05-23 00:15
NASHUA,42846,1,0.00,2018-05-23 00:15
NELSON,498,64,13,2018-05-23 00:15
ORFORD,479,17,4,2018-05-23 00:15
STODDARD,1239,168,14,2018-05-23 00:15
Town,Total Cust.,Cust. Out,% Out,2018-05-23 00:00
NASHUA,42846,1,0.00,2018-05-23 00:00
NELSON,498,64,13,2018-05-23 00:00
ORFORD,479,17,4,2018-05-23 00:00
STODDARD,1239,168,14,2018-05-23 00:00
