Town,Total Cust.,Cust. Out,% Out,timestamp
DOVER,17065,1,0.01,2019-01-31 17:00
DEERING,1130,1,0.09,2019-01-31 16:45
DEERING,1130,1,0.09,2019-01-31 16:30
DEERING,1130,1,0.09,2019-01-31 16:15
DEERING,1130,1,0.09,2019-01-31 16:00
GILMANTON,485,4,0.82,2019-01-31 15:15
LOUDON,2574,10,0.39,2019-01-31 15:15
PITTSFIELD,1944,126,6.0,2019-01-31 15:15
GILMANTON,485,4,0.82,2019-01-31 15:00
LOUDON,2574,10,0.39,2019-01-31 15:00
PITTSFIELD,1944,127,7.0,2019-01-31 15:00
SWANZEY,3907,1,0.03,2019-01-31 15:00
GILMANTON,485,4,0.82,2019-01-31 14:45
LOUDON,2574,10,0.39,2019-01-31 14:45
PITTSFIELD,1944,126,6.0,2019-01-31 14:45
SWANZEY,3907,1,0.03,2019-01-31 14:45
SWANZEY,3907,1,0.03,2019-01-31 14:30
SWANZEY,3907,1,0.03,2019-01-31 14:15
SWANZEY,3907,1,0.03,2019-01-31 14:00
SWANZEY,3907,1,0.03,2019-01-31 13:45
HINSDALE,2067,10,0.48,2019-01-31 13:15
WINDHAM,5243,7,0.13,2019-01-31 13:15
HINSDALE,2067,10,0.48,2019-01-31 13:00
WINDHAM,5243,7,0.13,2019-01-31 13:00
HINSDALE,2067,10,0.48,2019-01-31 12:45
NASHUA,42987,1,0.0,2019-01-31 12:45
WINDHAM,5243,7,0.13,2019-01-31 12:45
HINSDALE,2067,10,0.48,2019-01-31 12:30
NASHUA,42987,1,0.0,2019-01-31 12:30
WINDHAM,5243,7,0.13,2019-01-31 12:30
HINSDALE,2067,10,0.48,2019-01-31 12:15
NASHUA,42987,1,0.0,2019-01-31 12:15
WINDHAM,5243,7,0.13,2019-01-31 12:15
HINSDALE,2067,10,0.48,2019-01-31 12:00
WINDHAM,5243,7,0.13,2019-01-31 12:00
HAVERHILL,1482,2,0.13,2019-01-31 11:45
HINSDALE,2067,10,0.48,2019-01-31 11:45
PIERMONT,328,128,39.0,2019-01-31 11:45
WINDHAM,5243,7,0.13,2019-01-31 11:45
